Geography,Contact Crime,Financial Year,Count
ZA,Murder,2011/2012,15554
ZA,Murder,2012/2013,16213
ZA,Murder,2013/2014,17023
ZA,Murder,2014/2015,17805
ZA,Murder,2015/2016,18673
ZA,Murder,2016/2017,19016
ZA,Murder,2017/2018,20336
ZA,Murder,2018/2019,21022
ZA,Murder,2019/2020,21325
ZA,Murder,2020/2021,19972
ZA,Sexual Offences,2011/2012,60539
ZA,Sexual Offences,2012/2013,60888
ZA,Sexual Offences,2013/2014,56680
ZA,Sexual Offences,2014/2015,53617
ZA,Sexual Offences,2015/2016,51895
ZA,Sexual Offences,2016/2017,49660
ZA,Sexual Offences,2017/2018,50108
ZA,Sexual Offences,2018/2019,52420
ZA,Sexual Offences,2019/2020,53293
ZA,Sexual Offences,2020/2021,46214
ZA,Attempted Murder,2011/2012,14730
ZA,Attempted Murder,2012/2013,16236
ZA,Attempted Murder,2013/2014,16989
ZA,Attempted Murder,2014/2015,17537
ZA,Attempted Murder,2015/2016,18127
ZA,Attempted Murder,2016/2017,18205
ZA,Attempted Murder,2017/2018,18233
ZA,Attempted Murder,2018/2019,18980
ZA,Attempted Murder,2019/2020,18635
ZA,Attempted Murder,2020/2021,18707
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2011/2012,191612
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2012/2013,185050
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2013/2014,182333
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2014/2015,182556
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2015/2016,182933
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2016/2017,170616
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2017/2018,167352
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2018/2019,170979
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2019/2020,166720
ZA,Assault With The Intent To Inflict Grievous Bodily Harm,2020/2021,143393
ZA,Common Assault,2011/2012,180165
ZA,Common Assault,2012/2013,171653
ZA,Common Assault,2013/2014,166081
ZA,Common Assault,2014/2015,161486
ZA,Common Assault,2015/2016,164958
ZA,Common Assault,2016/2017,156450
ZA,Common Assault,2017/2018,156243
ZA,Common Assault,2018/2019,162012
ZA,Common Assault,2019/2020,165494
ZA,Common Assault,2020/2021,149442
ZA,Common Robbery,2011/2012,52566
ZA,Common Robbery,2012/2013,53196
ZA,Common Robbery,2013/2014,53505
ZA,Common Robbery,2014/2015,54927
ZA,Common Robbery,2015/2016,54110
ZA,Common Robbery,2016/2017,53418
ZA,Common Robbery,2017/2018,50730
ZA,Common Robbery,2018/2019,51765
ZA,Common Robbery,2019/2020,51825
ZA,Common Robbery,2020/2021,37648
ZA,Robbery With Aggravating Circumstances,2011/2012,100769
ZA,Robbery With Aggravating Circumstances,2012/2013,105488
ZA,Robbery With Aggravating Circumstances,2013/2014,118963
ZA,Robbery With Aggravating Circumstances,2014/2015,129045
ZA,Robbery With Aggravating Circumstances,2015/2016,132527
ZA,Robbery With Aggravating Circumstances,2016/2017,140956
ZA,Robbery With Aggravating Circumstances,2017/2018,138364
ZA,Robbery With Aggravating Circumstances,2018/2019,140032
ZA,Robbery With Aggravating Circumstances,2019/2020,143990
ZA,Robbery With Aggravating Circumstances,2020/2021,119841
EC,Murder,2011/2012,3269
EC,Murder,2012/2013,3335
EC,Murder,2013/2014,3441
EC,Murder,2014/2015,3321
EC,Murder,2015/2016,3649
EC,Murder,2016/2017,3628
EC,Murder,2017/2018,3815
EC,Murder,2018/2019,3965
EC,Murder,2019/2020,3879
